winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
Hampton Water,Rosé 2019,Rosé wine,France,4.0,515,23.99,"Shiraz/Syrah, Mourvedre, Cinsault, Grenache",14.2,"Very nice Rose. Dry and not too acidic. A light strawberry flavor with hints of peach. It’s one of the better Rose wines I’ve had.,Loved the label, of course, because swimming 🏊🏼‍♀️.... but this is actually an excellent rosé! Might just have to be my new fav case wine for 2021!,Light and crisp with a smooth profile. Hints of cherry, kiwi and light citrus flavor. This is a refined wine which will delight you with its youth and effervescence."
Fritsch,Grüner Veltliner Schlossberg 1 2016,White wine,Austria,4.2,46,34.99,100% Grüner Veltliner,,"Bright light golden colour. Pure and flinty nose, fresh apricot, peach, crushed stone and dry spices. Very good grip on the palate, digest stone fruit, fine extract, candied citrus, dry spices, a vibrant acidity and a long unctuous finish.,Full body, ripe, mineral, medium acidity. Peppery, dust, salty pears and exotoc fruits.,Nice beautiful wine friendly balanced 5/4"
Château d'Esclans,Whispering Angel Rosé 2019,Rosé wine,France,4.1,7746,19.99,"Shiraz/Syrah, Cinsault, Grenache",13.5,"It’s 2019 and this guy’s still excellent. Boom on the nose with honey melon, apricots and that particular tanginess. Peak Provence rosé,Superior rosè. Dry and perfectly balanced with dominant notes of strawberries followed by subtle notes of citrus, minerality and peach.,I’m very impressed by this Rosé, best yet if the summer season. Dry with great flavor; tastes of strawberry, peach, watermelon, and citrus."
Willamette Valley Vineyards,Riesling 2019,White wine,United States,4.2,105,15.28,100% Riesling,,"4.5 - great 2019 vintage Willamette Valley AVA Resling whole cluster pressed yielding an wonderful medium sweet white - pale straw clear color with medium body weight - beautiful nose bouquet soft pear and ripe fuji apple - soft and velvety mouthfeel on the forward with well balanced acids and smooth on the palate,This is a pretty good for what it is. Price is certainly right. The family like it a lot. Pair with some light apps or fruit for dessert.,Peach and pear. Good acidity. Medium sweetness to compliment sweet and spicy dishes. Yummm. For only $11, I would buy this again in a heartbeat."
Bellavista,Alma Gran Cuvée Brut N.V.,Sparkling wine,Italy,3.9,9442,32.99,"Pinot Noir, Chardonnay",12.5,"Refreshing and crisp this Italian sparkler made of Pinot and Chardonnay is full of golden apples and flowers with great bubbles.,When I asked here on Vivino, before our summer holidays, for food and wine recommendations in Piemonte, several folks suggested Ristorante Bovio in La Morra. So that's where we went - and yes, that is their massive wine list in the photos. We started our excellent dinner (overlooking the scenic vineyards) with this lovely, fresh Franciacorta. Green apple, lemon, orange, redcurrants, orchard blossoms & buttered brioche, inviting to a juicy, fruity palate, well balanced in complexity, freshness and intensity.,A producer close to our ❤️. We popped a cork after I proposed. And then we served it at our wedding. Haven't tasted for a few yrs. ESW has often taken the Champagne alternative placement away from Franciacorta. It was showing amazing on the day. Better than 3 other highly regarded sparklers (see separate post). Sharp citrus. Pear. Cap gun smoke. Clean steal. Cashew nut. Lean + compact. Not that powerful, but a real flair and sense of beauty that elevated the experience."
Quantum,Ein Quantum Rot & Rosa N.V.,Rosé wine,Austria,3.8,108,21.99,"Blaufränkisch, Zweigelt, St. Laurent",,"Quite good on second tasting. Served too cold the first time. Almost Beaujolais like flavor and consistency. Color: pale and slightly faded red Nose: cranberry sauce, honey and potting soil. Palate: light body, medium high acidity, no tannins. Mineral tones of stone, potting soil with undertones of cherry skins.,very simple and very enjoyable wine. fresh, yummy strawberries and raspberries. light with good acidity, easygoing. nothing to talk about, just drink and enjoy it.,Strawberry, cherry, and a hint of vanilla on the nose. A semi-dry, fruit-forward wine, it has a bold strawberry flavor on the palette with a few sour notes on the back end. Well-rounded and quite drinkable."
Emmolo,Emmolo No. 2 Méthode Traditionnelle N.V.,Sparkling wine,United States,4.0,189,50,"56% Chardonnay, 44% Pinot Noir",,"A nice CA sparkler, blend of 44% Pinot Noir & 57% Chardonnay pale lemon color with aromas of stone fruits and bread notes. Lively bubbles on light mousse, medium bodied, ripe apple and pear on the palate, nice acidity, well balanced ending with toasty mineral notes. Nice, a bit pricy!,Aroma of nectarine, baked apple, lemon, and pie crust. High sparkle, med acid, dry plus. Taste of lemon curd, nectarine, apple, yeast, and honey.,Green apple, pear, and a type of sweet lemon I had in northern Spain that doesn’t come in with that tart kick at the end, unlike the lemons we get in South Florida."
Olema,Côtes de Provence 2020,Rosé wine,France,4.0,103,15,Grenache,12.5,"Clear, light pink Clean, pronounced aroma, strawberry, ripe peach, grapefruit, developed Off-dry, medium+ acid, light body, low alcohol, pronounced flavor strawberries, peach, mineral, herbaceous, grapefruit, long finish Very good, drink now not suitable for further ageing,Quite a diverse array of fruit coming through in this rosé. I get a bit of raspberry, watermelon, and pear. Unfortunately, I just don’t get too much of ang of them. This rosé is light, tart, and refreshing, but nothing too bold or unique.,Pale pink in color with a youthful medium intensity nose. Strawberry, melon, berry, orange peel, nectarine. Dry, high acidity, medium minus body, medium alcohol and medium intensity on the body. Melon, berry, orange peel, citrus, lemon, lime juice. Very good quality of wine. Drink now."
Château Roûmieu-Lacoste,Sauternes 2016,Dessert wine,France,4.2,86,29.99,100% Sémillon,,"( honey pineapple apricot butter) 2016 An amazing diner at Le Cafe Cent-Dix that finishes with a wonderful Sauternes that paired with our creme caramel. Sweet aromas of honey and pineapple on the nose. Fresh apricot and warm butter on the palate! Cheers! 🇫🇷🥂 #376,Bottle - Roumieu-Lacoste shows off its incredible consistency with another delicious new vintage of the Sauternes, showing the same lovely apricot, stone fruit, roasted nuts and honey notes. The wine is fermented in stainless steel and aged for a minimum of 16 months in 50% new and 50% one year use French oak barrels. The resulting wine is classic Sauternes with deep honey notes and apricot and peach flavors at just the appropriate sweetness levels without being too heavy or dense. - Jackson’s $20,Pale gold color. Nose of honey, apricot & sage. Slightly unctuous in the mouth with apricot, sage & not much acid. A long finish of honey & apricot. Fulfills the purpose for which it was intended. 100% Semillon. SS ferment & 16 mos in French oak (50% new). 4.1-4.2⭐️ from me. A great end of night."
Lloyd,Chardonnay 2019,White wine,United States,4.3,44,37.99,100% Chardonnay,14.5,"Delicious Chardonnay. Light butter and oak, honey, butterscotch, vanilla and pear. Some nice mineral notes as well. Paired with scallop scampi over fettuccine and garlic bread.,Very impressive and enjoyable Chardonnay. Pale lemon/straw color. Taste - pear, butterscotch, vanilla, light butter, oak and honey. Nose floral, citrus and vanilla. Also pleasant mineral notes. Buttery texture, medium acidity, medium+ finish,Even the wife likes it!"
Sandeman,10 Years Old Tawny Porto N.V.,Fortified Wine,Portugal,4.1,2367,,"Touriga Nacional, Tinta Roriz",20,"A solid 10-year tawny. Carmel, vanilla, oak. It's a little flat, but solid and delicious. 4.25. Downgrading to 4.15. Still solid.,Very good classic Porto! Prunes, chocolate and tobacco taste; oak, dry apricot and raisins spicy aftertaste! Perfect digestive!,pale tawny; rich in honey, figs, prunes, toast, coconut, coffee; a bit of petrol on the nose; complex, yet elegant; really, really good!"
Alheit Vineyards,Cartology (Bush Vines) 2015,White wine,South Africa,4.2,485,34.99,"Sémillon, Chenin Blanc",,"This Chenin blanc shows notes of citrus, green apples, orange peel, custard, cream Full bodied, buttery and rich, very high acidity Moderate to long finish,Wow, an amazing wine 😍 From bottle: “this wine could come from nowhere else” Not trying to be 🇫🇷, this is it’s own thing 86% Chenin 14% Semillon From rare parcels of low yielding bush vines that have been planted here since 1656! That’s like, way before smartphones @KK @*Burgnut* @Yoav Keynan approved so you know it’s good Intense & powerful, but balanced Succulent pear 🍐, lemon 🍋 zest, juicy apricot 🍑, raw honey 🍯, minerals, a lovely moment of creme brûlée, vibrant acidity & a two minute finish! YESSS,Wonderful wine. 86% Chenin Blanc and 14% Semillon. Naturally fermented. Intensely flavoured: flowers, citrus and honey. Well balanced. Great wine"
Ojai,Bien Nacido Vineyard Chardonnay 2018,White wine,United States,4.2,38,29.99,100% Chardonnay,13,"Delicious wine - full bodied and a long finish oak toast lovely,A light subtle white grape flavor with a zesty smooth body and a clean dry finish.,I really enjoyed this CA Chardonnay. ABV at 13%, which is low for my experience with CA Chardonnay. But the oak, the buttery texture, the viscosity of the wine...it worked so well with the vanilla, lemon peel, baked apple, and white flowers I got from the wine. I'll definitely buy this one again."
Michel Vattan,O.P Sancerre 2019,White wine,France,4.3,26,24,Sauvignon Blanc,13,"Delicious. Slight mineralogy tied with citrus and plum. Crisp without the overwhelming sharpness of other SB wines. Would definitely drink again.,A very young, textured dry low acidity & strong body Sancerre with Bright fruits & citrus flavors that are crisp, steely & burst both in the nose & palate for a delightful & enjoyable sunny afternoon while taking on ones surroundings. It will sustain its potential for ripeness as it matures. A Deliciously fantastic gift with an unusual demanding finish!,Great as always, vat tan Sancerre"
Terredora,Fiano di Avellino 2015,Dessert wine,Italy,3.7,259,20.39,100% Fiano,,"Slightly strong oak notes on opening but it fades and reveals citrus and orchard fruit, spice and wet stone. Medium body good lift and juicy finish. 89/100,Delicate aromas of sweet melon and a hint of pineapple, pleasantly supple in the mouth with spicy notes. A variety of flavours, fresh acidity and a strong body slighty lemony at the finish.,This wine from Campania gives a tricky head fake. With aromas of ripe honeydew melon and pineapple, one might expect a sweeter wine but it is subtly dry with gentle acidity. Enjoy on a nice summer night."
Atalaya,La Atalaya del Camino 2018,Red wine,Spain,4.2,844,16.99,"85% Garnacha Tintorera, 15% Monastrell",15,"4.4. Cotton candy, milk chocolate, vanilla, mint, and cream cheese icing on the nose. Milk chocolate, vanilla, strawberries, maraschino cherries, peach, and nutmeg flavors. Smooth like heavy cream. So flavorful. I really enjoyed.,$13.45 Even better than the 2016? Well, better than 2017, which is a tad harsh. This is dense blackberry fruity, acidic and tannic but drink now with a meal or without food. Does nothing for Humboldt Fog (America's best cheese?).,Wow! What body, color"
Colmant,Brut Rosé N.V.,Sparkling wine,South Africa,3.9,192,,"75% Pinot Noir, 25% Chardonnay",12.4,"A wonderful ZA sparkling from a fantastic producer. 75% Pinot Noir 25% Chardonnay. Great silky, fruity mousse and enjoyable acidity.,Light salmon in colour with a pomegranate nose, whiffs of strawberries and candy floss. Crispy palate with a beautiful small bubble. Good mouthfeel.,Nice, drinkable and good value cap classique. More red fruit than typical brut rosé. Strawberry and cherry - the 75% Pinot noir is noticeable."
Eifel Pfeiffer,Eiswein 2016,Dessert wine,Germany,3.8,45,30.59,"Sylvaner, Riesling",,"Pale yellow in color. Aromatic nose with hints of honey. Medium body on the palate with notes of apricot and a touch of honey. Fairly long finish.,A German Eiswein for dessert to pair with the current icy weather in the DMV... Clear medium amber gold color. Clean, developing, pronounced intensity nose of honey, almond, apricot, orange zest, and orange blossom on the nose. Sweet, full body, low alcohol (9.5%) and high acidity. Medium+ intensity flavors of honey, apricot and orange zest on the palate leading to a medium+ length finish. Very good. Delicious dessert wine and paired wonderfully with pineapple upside down cake.,Honey,lemon, citrus smells,"
Warre's,Late Bottled Vintage Port 2002,Fortified Wine,Portugal,4.2,411,31.99,"Tinta Cão, Tinta Francisca, Touriga Nacional, Tinta Roriz, Tinta Barroca",20,"Chocolate brownies with blueberry and cassis jam. Concentrated, bold, smooth, oily and very long at palate. Soft alcohol sweetness. Very good,-0.5 for the not-as-smooth-or-viscous-as-I-would-like texture. But great complexity. Slightly floral, and a nice molasses like sweetness. Bit of chocolately notes.,One of the best ports I've had. Very smooth, medium bodied, fruity with some spice. Flavors of vanilla, chocolate, raspberry, blackberry, caramel, and nuttiness!"
Mont Gravet,Rosé 2019,Rosé wine,France,3.8,341,10.99,100% Cinsault,12,"Acidic nose, some strawberry. A touch sweet up front, with acidity and mineral to balance. Stone fruit. A light body. Pleasant,2019 Rosé from Pays D' Oc, France. A subtly refreshing, thirst-quenching Rosé with nicely balanced red (strawberry, watermelon) & tree fruit (pear & apricot), minerals, & citrus flavors. Good value for $10 USD. Let's get more!,A beautiful French rose. Made from 100% Cinsault grapes, I found this a bit dry with raspberry, strawberry and pear notes. Buy this all day long for under $10!"
Da Mar,Prosecco N.V.,Sparkling wine,Italy,3.9,220,12.99,100% Glera,,"Very nice bubbly. Beautiful label that is fun and festive - perfect for a party with Aperol spritzes. My go-to in the summertime.,Excellent aperitif, dry but not too dry, not too carbonated. Price is right.,Good solid Prosecco. Green apple, toast and lemon"
Reichsgraf von Kesselstatt,Goldtröpfchen Riesling Spätlese 2015,Dessert wine,Germany,4.2,25,39.99,100% Riesling,,"Second time this summer having this wine .. even better than I remembered. Apple, lemon curd, floral notes on the nose. On the palate, honey, apple, white peach, and slate .. lychee?,4.25. Pear, apple, white flower, honey, and petrol on the nose. On the palate, peach, a hint of pineapple, a hint of lime, and honey with just enough acidity and nice sweetness. Moderate-length finish.,Very good German Riesling. Enjoyed with our appetizer and soup tonight. Semi sweet with nice acidity."
Château Simon,Sauternes 2015,Dessert wine,France,4.0,92,27,"Sauvignon Blanc, Sémillon, Muscadelle",,"Melon, caramel, hazelnuts and a bit of minerality on the nose - more than I expected. Orange and fried apricot forward on the tongue.,🇫🇷 90% Sémillon, 8% SB, 2% Muscadelle 🍇 (Short description-served by the glass) A bit shy on the nose, yet very generous on the palate. Candied apricot, honey, saffron, cinnamon, burnt caramel, orange marmalade, hazelnut, a hint of exotic notes👌 Good acidity and a decent finish. Quite affordable. 91 WE ABV 14% 4/5 🥂,4.3 - Colour: gold - amber. On the nose ripe honey melon, ripe stone fruit and a flowery bouquet as well as hints of vanilla, honey and dried fruit. On the palate candied fruit, honey and dried fruit. Long finish. Sweetness: sweet. Acidity: low-medium. Alcohol: high. Body: full. Good QPR."
Scali,Blanc 2015,White wine,South Africa,4.3,30,34.99,100% Chenin Blanc,13.5,"Ripe pear, dried apricot, some lemon. Fine touch of oak. Jammie,Excellent full and robust Chenin blanc. Paired very well with Thai food.,Citrus, pomelo, oxidative nose, complex. Full bodied, rich, well oaked with citrus peel taste. Long time left to developed further. Food wine"
Quinta do Crasto,Late Bottled Vintage Port 2011,Fortified Wine,Portugal,4.1,462,29.99,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca",20,"This port makes me question why I like Graham’s. This is a really accessible port with wonderfully complex notes of cedar and berries.,Tobacco hide leather to spice up your nose. Then a extreme red berry smoothie that slowly transform itself into dark choc, good alcohol and crisp rich tannins. Young. A great little brother to the 2011 vintage port. Best LBV in ages.,Superb LBV. 4.6 Pronounced intensity of chocolate blackberry raisin black fruit violet blackcurrant Sweet, H acidity, H soft tannins, H alcohol, Full bodied, long finish. The wine is outstanding. Has everything you would expected for the style. Perfect sugar, acidity balance, very soft mouthfeel, long lasting black fruited finish, very concentrated intensity of fruit, well defined aromas. Will gain even more complexity in the future. Suitable for ageing. Has all the requirements for it."
Girolamo Russo,Etna Rosato 2019,Rosé wine,Italy,4.2,35,28.34,Nerello Mascalese,12.5,"Light but full of minerals,amazingly fresh on the nose, refreshing on the pallet. A bit of mandarine,Great vintage of one of the most consistently good Etna Rosatos. Light, full of minerals and tang from citrus fruits.,Lovely. Dry with notes of citrus and minerals"
Château de Berne,Château de Berne Rosé 2018,Rosé wine,France,3.9,91,18.99,"Cinsault, Grenache",12.5,"Very fruity but not on the annoying side. It’s maybe best described as a light Tavel. Great strawberry notes and some subtle depth. This could be my go-to rose when I’m out of Tavel,3.75 out of 5. Dark pink color, red fruit nose, medium bodied and medium acidity, 12.5% ABV. 70% grenache, 14% carignan Noir, 8% syrah and 8% cinsault. White raspberry, peach orange blossom, citrus and spice notes. Paired well with grilled chicken and vegetables.,Bottle aesthetic is great and the wine inside is just as good. On the nose: grapefruit, orange, rose water, lemon and lime. Citrus and slightly floral. Taste: raisins, fig, more orange and grapefruit, tan and leather. Very savoury for a rose from Cotes du Provence. Finish: this is where this wine comes into its own. Plenty of smooth rounded tannins, a great balance of acidity and sweetness and an everlasting length to the finish. A great wine that’s on offer at Waitrose and makes it very reasonable"
BenMarco,Expresivo 2018,Red wine,Argentina,4.3,1425,29.99,"85% Malbec, 15% Cabernet Franc",14.5,"4.3 for this 2018 Expresivo. A blend of Malbec and Cab Franc. Paired with a big juicy sirloin. Blackberry and smoke. This wine will keep developing but it’s drinking great now also.,I drink very little Argentinian wine, but clearly should pump it up! This is a serious and delicious wine. Ripe dark fruit notes with a well integrated oak and solid structure. Very drinkable now and can definitely age further on.,This is an outstanding example of the talent within Argentina. This bottle had a really nice balance between red fruit, dark fruit, oak, and earthiness. Incredible complexity that has you begging for another glass. No wonder the king of Argentina Myles Cook found this baby. Thank you Sir!"
1000 Stories,Chardonnay 2018,White wine,United States,4.1,657,17.99,100% Chardonnay,,"Ah - so brilliantly smooth - and buttery! Love its sibling Zinfandel, and this is equally superb. An amazing balance, and at this price tag?! Well go enjoy!,Fantastic California Chardonnay for the price! Love the bourbon barrel oak flavors that accentuates charred vanilla and toasted caramel. Highly recommend this full-bodied white.,Flowery and beautiful! Very unique nose. Hints of elderflower, and melon, and sunshine! It’s a beautiful glass, not too complex but not at all boring! Highly recommended!!"
Il Borro,Toscana 2015,Red wine,Italy,4.3,958,39.99,"Merlot, Cabernet Sauvignon",14.5,"94/100 Beautiful Super Tuscan from the Salvatore Ferragamo family. It's a big wine but never falls apart in the glass. Blend of Merlot, Cabernet Sauvignon, and Syrah. This is dark and dense. It has chewy, round tannins. Full of dark fruit and tobacco flavors.,Rockin super tuscan. Very smooth and balanced wine that lets you get all the flavors. Earthy nose, with dark fruit, chocolate, and oak,Beautiful super Tuscan from the Salvatore Ferragamo family. A blend of merlot, cab sav, and syrah. Big dark fruit, tobacco and vanilla with some chewy tannins. Need to stock up on this at $50!!!"
Château Soucherie,Exception Côteaux du Layon 2015,Dessert wine,France,3.8,44,,Chenin Blanc,,"Gorgeous sweet chenin blanc wine. Despite the 110g of sugar it doesn't seem that sweet due to a lovely acidity. Gorgeous aromas of quince and candied citrus fruit. Very well balanced and delicate wine that marries well with deserts.,100% Chenin Blanc from Côteaux du Layon, France. High quality dessert wine, aged in demi-muid oak barrels (600 litres) for 9 months. Notes of yellow apple, ripe peach, nectarine, quince, candied lemon, marmalade and honey. Well balanced, medium plus acidity, pleasant sweetness in the aftertaste,3.8 stars. Grass honey peach. Good balance between alcohol acidity and sweetness"
North by Northwest (NxNW),Rosé 2016,Rosé wine,United States,3.9,27,14.99,"Shiraz/Syrah, Merlot, Pinot Gris, Riesling",13,"Here. Here. Simmer down now! This being a new world rose but resembles an old world, dry rose. Sweet strawberry & watermelon on the nose but dry, mineral & palate cleansing acidity on the palate. Tannins give this light body wine a touch more mouthfeel. Light salmon color, clean, clear but quickly approaching its past drink now window. This Autumn is it. Serve with good stinky French cheese, meaty pizza or raw oysters. Good QPR because I paid a fraction of the retail on this slow mover.,Really fun nose that highlights the wide grape blend. The Riesling pulls through well but not prominent enough to add that pool toy layer. Good red fruit and juicy fruit balance.,I love this kitchen sink line from Washington state it's very complex and it's fun from start to finish it's aromatic an interesting the complex knows follows through on the spicy mouth feel with an almost tart like taste to it PS you can't beat this price with a stick"
Poças,Tawny Porto N.V.,Fortified Wine,Portugal,3.3,1002,10.99,"Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca",19,"84-85/100, 3,4* Nose of medium intensity with hints of plum jam and blackberry marmalade. Sweet taste of medium intensity with good balance, low-to-medium acidity, full body, bilberry, blueberry, blackberry jam on the palate, medium complexity, medium length. A bit too sweet and lacks acidity. Good after all as a digestive.,Aroma is nice, toffee, deep, Barleywine notes. Tastes thick, deep, sweet, ripe red berries. After a while develops some apple notes also. In the end is a bit light in the backend, although first touch was wonderful. 3.7.,Classy dry fruit, nutty oaky raisin, perfect on our cheese tasting:)"
Domaines Bunan,Mas de la Rouvière Rosé 2019,Rosé wine,France,4.0,30,23.99,"Mourvedre, Cinsault, Grenache",14,"The new vintage of a Bandol rosé that I buy every year. I don't usually try it this young, lockdown + heatwave = pressure on rosé supplies. I'm liking the primary fruity energy. Apricot skin colour. Generous ripe red berry fruit, with blossom, melon and grapefruit. The palate is less austere, mineral and savoury than normal, I'm not sure if this is the vintage or the stage of development. Breadth, bitterness, herbs, a touch of spice. Dry but not bone dry, medium acidity. Classy wine, and very drinkable.,Light orange. Nose of wild strawberry and cantaloupe. Some herbal notes. Organic and hand harvested. Red fruits and wild herbs. Fresh. Good length. Very nice.,Watermelon, cantaloupe, honey and minerals, tastes like summer."
Glunz,De la Costa White Sangria N.V.,Dessert wine,United States,3.8,29,10.95,Sauvignon Blanc,,"2017 vintage,2017 vintage,Delicious and refreshing. So good on a warm summer day!"
G.H. Mumm,(Cordon Rouge) Brut Champagne N.V.,Sparkling wine,France,3.9,27210,34.63,"Pinot Meunier, Pinot Noir, Chardonnay",12,"3.8 Well balanced Brut Champagne. Toast aroma's with citrus and grapefruit. Even a bit of hay on the nose. Concentrated mid section in which the fresh fruit comes to live. Good finish. I enjoyed it!,Mumm’s the word tonight at Rock House 🍾😁. This is a high volume, good quality, good value Champ that you can find anywhere & is always reliable. This is the AC/DC of champagnes. Won’t take you to the heights of say Zeppelin or Queen, but it makes everyone smile when you put it on & is always on brand 😆🤘🏻 Seductive notes of white peach 🍑, lychee, lemon 🍋 zest, freshly sliced bread 🍞, minerals, honey 🍯 30% reserve wines 25 months on lees For those about to rock 🥂🥂 3.9⭐️,3.8🌟 A week ago I missed this year Champagne parade due to canoeing, that's why I wanted to try real bubbles. Bought on last year Christmas fever for just bit over 20€. PN based blend with addition of CH&PM, spent 20M sur lattes.Dosage 8g. Lemon color,golden glitters,fast gone bubbles. N: Pastry, vanilla, honey, dried stone fruits and walnut. Yellow apple, peach, pear, pineapple, lemon. Wet chalk&flint. T: Lemon, green&yellow apple, pear, apricot and some tropicals. Brioche, honey, vanilla, nuts... 👇👇👇"
Quinta da Romaneira,Tinto 2015,Red wine,Portugal,4.3,539,31.99,"Touriga Nacional, Touriga Franca, Tinto Cao",13.5,"15 N - black cherry, blackberry, earth, freshness, spicy, leathery P - black cherry, red cherry, raspberry, boysenberry Acid M+ Tannins - M- and chalky,€27.99 @ Centra Superb heavy but smooth and very finely balanced Douro red. Rich caramel with a punch through of red fruit raspberry. Treat yourself!,A smooth, full red DOC with a balance of flavors, including deep dark cherry, a splash of raspberry, notes of tobacco, some earthiness, and a hint of leather. A balance of tannins gives this wine a most pleasant taste that works well with foods or just just to enjoy."
Tabali,Talinay Chardonnay 2015,White wine,Chile,4.2,52,14.95,100% Chardonnay,,"Fantastic fresh cabernet from Chile.,Quite interesting wine recommended by a friend. Yellow/green bright color, smell of lemon and lime. Taste is unique, at first it is sweet sauerkraut with grass, but it is rather sweet. Then there is an attack of acidity with short finish. Interesting!,Very fresh Chardonnay. Perfect complex."
